"filename", "language", "C++", "Markdown", "HTML", "SVG", "CSS", "JSON with Comments", "comment", "blank", "total"
"f:\code\CNML\NML.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 170, 0, 2, 172
"f:\code\CNML\doc\Find_Root_In_Univariate_Polynomials.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 20, 112
"f:\code\CNML\doc\Geometry_2D.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"f:\code\CNML\doc\Geometry_3D.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\code\CNML\doc\Linear_Algebra.md", "Markdown", 0, 451, 0, 0, 0, 0, 0, 36, 487
"f:\code\CNML\doc\Link_Block.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 14, 118
"f:\code\CNML\doc\Transform_Matrix_2D.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 6, 21
"f:\code\CNML\doc\bezier.md", "Markdown", 0, 312, 0, 0, 0, 0, 0, 31, 343
"f:\code\CNML\readme.md", "Markdown", 0, 450, 0, 0, 0, 0, 0, 55, 505
"f:\code\CNML\src\Algebra\NML_Algebra.cpp", "C++", 264, 0, 0, 0, 0, 0, 38, 64, 366
"f:\code\CNML\src\Algebra\NML_Algebra.hpp", "C++", 29, 0, 0, 0, 0, 0, 137, 29, 195
"f:\code\CNML\src\Algebra\NML_Matrix.cpp", "C++", 383, 0, 0, 0, 0, 0, 13, 65, 461
"f:\code\CNML\src\Algebra\NML_Matrix.hpp", "C++", 89, 0, 0, 0, 0, 0, 292, 44, 425
"f:\code\CNML\src\Algebra\NML_Vector.cpp", "C++", 52, 0, 0, 0, 0, 0, 8, 8, 68
"f:\code\CNML\src\Algebra\NML_Vector.hpp", "C++", 46, 0, 0, 0, 0, 0, 127, 23, 196
"f:\code\CNML\src\Algebra\test.cpp", "C++", 220, 0, 0, 0, 0, 0, 81, 60, 361
"f:\code\CNML\src\Geometry\NML_Bezier.cpp", "C++", 389, 0, 0, 0, 0, 0, 28, 62, 479
"f:\code\CNML\src\Geometry\NML_Bezier.hpp", "C++", 32, 0, 0, 0, 0, 0, 170, 36, 238
"f:\code\CNML\src\Geometry\NML_Geometry.cpp", "C++", 41, 0, 0, 0, 0, 0, 8, 12, 61
"f:\code\CNML\src\Geometry\NML_Geometry.hpp", "C++", 15, 0, 0, 0, 0, 0, 47, 15, 77
"f:\code\CNML\src\Geometry\NML_Transform_Action.cpp", "C++", 13, 0, 0, 0, 0, 0, 8, 5, 26
"f:\code\CNML\src\Geometry\NML_Transform_Action.hpp", "C++", 51, 0, 0, 0, 0, 0, 31, 15, 97
